year,quarter,sector,country,value
2010,Q3,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2010,Q3,Kesehatan dan Pekerjaan Sosial,Filipina,-
2010,Q3,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2010,Q3,Kesehatan dan Pekerjaan Sosial,Laos,-
2010,Q3,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2010,Q3,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2010,Q3,Kesehatan dan Pekerjaan Sosial,Singapura,-
2010,Q3,Kesehatan dan Pekerjaan Sosial,Thailand,-
2010,Q3,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2010,Q3,Lainnya,Brunei Darussalam,-
2010,Q3,Lainnya,Filipina,15
2010,Q3,Lainnya,Kamboja,-
2010,Q3,Lainnya,Laos,-
2010,Q3,Lainnya,Malaysia,-1
2010,Q3,Lainnya,Myanmar,-
2010,Q3,Lainnya,Singapura,7
2010,Q3,Lainnya,Thailand,-
2010,Q3,Lainnya,Vietnam,-
2010,Q3,Pendidikan,Brunei Darussalam,-
2010,Q3,Pendidikan,Filipina,-
2010,Q3,Pendidikan,Kamboja,-
2010,Q3,Pendidikan,Laos,-
2010,Q3,Pendidikan,Malaysia,-
2010,Q3,Pendidikan,Myanmar,-
2010,Q3,Pendidikan,Singapura,-
2010,Q3,Pendidikan,Thailand,-
2010,Q3,Pendidikan,Vietnam,-
2010,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2010,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2010,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2010,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2010,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,-
2010,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2010,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,-
2010,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2010,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2010,Q4,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2010,Q4,Kesehatan dan Pekerjaan Sosial,Filipina,-
2010,Q4,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2010,Q4,Kesehatan dan Pekerjaan Sosial,Laos,-
2010,Q4,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2010,Q4,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2010,Q4,Kesehatan dan Pekerjaan Sosial,Singapura,-
2010,Q4,Kesehatan dan Pekerjaan Sosial,Thailand,-
2010,Q4,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2010,Q4,Lainnya,Brunei Darussalam,-
2010,Q4,Lainnya,Filipina,37
2010,Q4,Lainnya,Kamboja,-
2010,Q4,Lainnya,Laos,-
2010,Q4,Lainnya,Malaysia,-2
2010,Q4,Lainnya,Myanmar,-
2010,Q4,Lainnya,Singapura,21
2010,Q4,Lainnya,Thailand,-
2010,Q4,Lainnya,Vietnam,-
2010,Q4,Pendidikan,Brunei Darussalam,-
2010,Q4,Pendidikan,Filipina,-
2010,Q4,Pendidikan,Kamboja,-
2010,Q4,Pendidikan,Laos,-
2010,Q4,Pendidikan,Malaysia,-
2010,Q4,Pendidikan,Myanmar,-
2010,Q4,Pendidikan,Singapura,-
2010,Q4,Pendidikan,Thailand,-
2010,Q4,Pendidikan,Vietnam,-
2011,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2011,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2011,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2011,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2011,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,-
2011,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2011,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,4.11
2011,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2011,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2011,Q1,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2011,Q1,Kesehatan dan Pekerjaan Sosial,Filipina,-
2011,Q1,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2011,Q1,Kesehatan dan Pekerjaan Sosial,Laos,-
2011,Q1,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2011,Q1,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2011,Q1,Kesehatan dan Pekerjaan Sosial,Singapura,-0.95
2011,Q1,Kesehatan dan Pekerjaan Sosial,Thailand,-
2011,Q1,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2011,Q1,Lainnya,Brunei Darussalam,-
2011,Q1,Lainnya,Filipina,27.21
2011,Q1,Lainnya,Kamboja,-
2011,Q1,Lainnya,Laos,-
2011,Q1,Lainnya,Malaysia,4.97
2011,Q1,Lainnya,Myanmar,-
2011,Q1,Lainnya,Singapura,11.9
2011,Q1,Lainnya,Thailand,-
2011,Q1,Lainnya,Vietnam,-
2011,Q1,Pendidikan,Brunei Darussalam,-
2011,Q1,Pendidikan,Filipina,-
2011,Q1,Pendidikan,Kamboja,-
2011,Q1,Pendidikan,Laos,-
2011,Q1,Pendidikan,Malaysia,-
2011,Q1,Pendidikan,Myanmar,-
2011,Q1,Pendidikan,Singapura,-
2011,Q1,Pendidikan,Thailand,-
2011,Q1,Pendidikan,Vietnam,-
2011,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2011,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2011,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2011,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2011,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,-
2011,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2011,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,2.02
2011,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2011,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2011,Q2,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2011,Q2,Kesehatan dan Pekerjaan Sosial,Filipina,-
2011,Q2,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2011,Q2,Kesehatan dan Pekerjaan Sosial,Laos,-
2011,Q2,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2011,Q2,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2011,Q2,Kesehatan dan Pekerjaan Sosial,Singapura,-0.54
2011,Q2,Kesehatan dan Pekerjaan Sosial,Thailand,-
2011,Q2,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2011,Q2,Lainnya,Brunei Darussalam,-
2011,Q2,Lainnya,Filipina,24.58
2011,Q2,Lainnya,Kamboja,-
2011,Q2,Lainnya,Laos,-
2011,Q2,Lainnya,Malaysia,-1.55
2011,Q2,Lainnya,Myanmar,-
2011,Q2,Lainnya,Singapura,11.85
2011,Q2,Lainnya,Thailand,-
2011,Q2,Lainnya,Vietnam,-
2011,Q2,Pendidikan,Brunei Darussalam,-
2011,Q2,Pendidikan,Filipina,-
2011,Q2,Pendidikan,Kamboja,-
2011,Q2,Pendidikan,Laos,-
2011,Q2,Pendidikan,Malaysia,-
2011,Q2,Pendidikan,Myanmar,-
2011,Q2,Pendidikan,Singapura,-
2011,Q2,Pendidikan,Thailand,-
2011,Q2,Pendidikan,Vietnam,-
2011,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2011,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2011,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2011,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2011,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,-
2011,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2011,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,3.07
2011,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2011,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2011,Q3,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2011,Q3,Kesehatan dan Pekerjaan Sosial,Filipina,-
2011,Q3,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2011,Q3,Kesehatan dan Pekerjaan Sosial,Laos,-
2011,Q3,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2011,Q3,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2011,Q3,Kesehatan dan Pekerjaan Sosial,Singapura,-
2011,Q3,Kesehatan dan Pekerjaan Sosial,Thailand,-
2011,Q3,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2011,Q3,Lainnya,Brunei Darussalam,-
2011,Q3,Lainnya,Filipina,33.15
2011,Q3,Lainnya,Kamboja,-
2011,Q3,Lainnya,Laos,-
2011,Q3,Lainnya,Malaysia,-2
2011,Q3,Lainnya,Myanmar,-
2011,Q3,Lainnya,Singapura,14.5
2011,Q3,Lainnya,Thailand,-
2011,Q3,Lainnya,Vietnam,-
2011,Q3,Pendidikan,Brunei Darussalam,-
2011,Q3,Pendidikan,Filipina,-
2011,Q3,Pendidikan,Kamboja,-
2011,Q3,Pendidikan,Laos,-
2011,Q3,Pendidikan,Malaysia,-
2011,Q3,Pendidikan,Myanmar,-
2011,Q3,Pendidikan,Singapura,-
2011,Q3,Pendidikan,Thailand,-
2011,Q3,Pendidikan,Vietnam,-
2011,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2011,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2011,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2011,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2011,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,-
2011,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2011,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,5.86
2011,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2011,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2011,Q4,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2011,Q4,Kesehatan dan Pekerjaan Sosial,Filipina,-
2011,Q4,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2011,Q4,Kesehatan dan Pekerjaan Sosial,Laos,-
2011,Q4,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2011,Q4,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2011,Q4,Kesehatan dan Pekerjaan Sosial,Singapura,-0.5
2011,Q4,Kesehatan dan Pekerjaan Sosial,Thailand,-
2011,Q4,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2011,Q4,Lainnya,Brunei Darussalam,-
2011,Q4,Lainnya,Filipina,21.31
2011,Q4,Lainnya,Kamboja,-
2011,Q4,Lainnya,Laos,-
2011,Q4,Lainnya,Malaysia,5.31
2011,Q4,Lainnya,Myanmar,-
2011,Q4,Lainnya,Singapura,12.23
2011,Q4,Lainnya,Thailand,-
2011,Q4,Lainnya,Vietnam,-
2011,Q4,Pendidikan,Brunei Darussalam,-
2011,Q4,Pendidikan,Filipina,-
2011,Q4,Pendidikan,Kamboja,-
2011,Q4,Pendidikan,Laos,-
2011,Q4,Pendidikan,Malaysia,-
2011,Q4,Pendidikan,Myanmar,-
2011,Q4,Pendidikan,Singapura,-
2011,Q4,Pendidikan,Thailand,-
2011,Q4,Pendidikan,Vietnam,-
2012,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2012,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2012,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2012,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2012,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,0.01
2012,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2012,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,-0.37
2012,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2012,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2012,Q1,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2012,Q1,Kesehatan dan Pekerjaan Sosial,Filipina,-
2012,Q1,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2012,Q1,Kesehatan dan Pekerjaan Sosial,Laos,-
2012,Q1,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2012,Q1,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2012,Q1,Kesehatan dan Pekerjaan Sosial,Singapura,-0.33
2012,Q1,Kesehatan dan Pekerjaan Sosial,Thailand,-
2012,Q1,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2012,Q1,Lainnya,Brunei Darussalam,-
2012,Q1,Lainnya,Filipina,27.78
2012,Q1,Lainnya,Kamboja,-
2012,Q1,Lainnya,Laos,-
2012,Q1,Lainnya,Malaysia,-1.82
2012,Q1,Lainnya,Myanmar,-
2012,Q1,Lainnya,Singapura,17.75
2012,Q1,Lainnya,Thailand,-
2012,Q1,Lainnya,Vietnam,-
2012,Q1,Pendidikan,Brunei Darussalam,-
2012,Q1,Pendidikan,Filipina,-
2012,Q1,Pendidikan,Kamboja,-
2012,Q1,Pendidikan,Laos,-
2012,Q1,Pendidikan,Malaysia,-
2012,Q1,Pendidikan,Myanmar,-
2012,Q1,Pendidikan,Singapura,-
2012,Q1,Pendidikan,Thailand,-
2012,Q1,Pendidikan,Vietnam,-
2012,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2012,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2012,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2012,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2012,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,0.02
2012,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2012,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,-2.06
2012,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2012,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2012,Q2,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2012,Q2,Kesehatan dan Pekerjaan Sosial,Filipina,-
2012,Q2,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2012,Q2,Kesehatan dan Pekerjaan Sosial,Laos,-
2012,Q2,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2012,Q2,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2012,Q2,Kesehatan dan Pekerjaan Sosial,Singapura,-0.3
2012,Q2,Kesehatan dan Pekerjaan Sosial,Thailand,-
2012,Q2,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2012,Q2,Lainnya,Brunei Darussalam,-
2012,Q2,Lainnya,Filipina,27.29
2012,Q2,Lainnya,Kamboja,-
2012,Q2,Lainnya,Laos,-
2012,Q2,Lainnya,Malaysia,-1.72
2012,Q2,Lainnya,Myanmar,-
2012,Q2,Lainnya,Singapura,34.04
2012,Q2,Lainnya,Thailand,-
2012,Q2,Lainnya,Vietnam,-
2012,Q2,Pendidikan,Brunei Darussalam,-
2012,Q2,Pendidikan,Filipina,-
2012,Q2,Pendidikan,Kamboja,-
2012,Q2,Pendidikan,Laos,-
2012,Q2,Pendidikan,Malaysia,-
2012,Q2,Pendidikan,Myanmar,-
2012,Q2,Pendidikan,Singapura,-
2012,Q2,Pendidikan,Thailand,-
2012,Q2,Pendidikan,Vietnam,-
2012,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2012,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2012,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2012,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2012,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,0.03
2012,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2012,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,-3.62
2012,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2012,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2012,Q3,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2012,Q3,Kesehatan dan Pekerjaan Sosial,Filipina,-
2012,Q3,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2012,Q3,Kesehatan dan Pekerjaan Sosial,Laos,-
2012,Q3,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2012,Q3,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2012,Q3,Kesehatan dan Pekerjaan Sosial,Singapura,-0.55
2012,Q3,Kesehatan dan Pekerjaan Sosial,Thailand,-
2012,Q3,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2012,Q3,Lainnya,Brunei Darussalam,-
2012,Q3,Lainnya,Filipina,35.14
2012,Q3,Lainnya,Kamboja,-
2012,Q3,Lainnya,Laos,-
2012,Q3,Lainnya,Malaysia,-2.22
2012,Q3,Lainnya,Myanmar,-
2012,Q3,Lainnya,Singapura,14.15
2012,Q3,Lainnya,Thailand,-
2012,Q3,Lainnya,Vietnam,-
2012,Q3,Pendidikan,Brunei Darussalam,-
2012,Q3,Pendidikan,Filipina,-
2012,Q3,Pendidikan,Kamboja,-
2012,Q3,Pendidikan,Laos,-
2012,Q3,Pendidikan,Malaysia,-
2012,Q3,Pendidikan,Myanmar,-
2012,Q3,Pendidikan,Singapura,-
2012,Q3,Pendidikan,Thailand,-
2012,Q3,Pendidikan,Vietnam,-
2012,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2012,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2012,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2012,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2012,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,0.09
2012,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2012,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,-0.18
2012,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2012,Q4,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2012,Q4,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2012,Q4,Kesehatan dan Pekerjaan Sosial,Filipina,-
2012,Q4,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2012,Q4,Kesehatan dan Pekerjaan Sosial,Laos,-
2012,Q4,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2012,Q4,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2012,Q4,Kesehatan dan Pekerjaan Sosial,Singapura,-0.64
2012,Q4,Kesehatan dan Pekerjaan Sosial,Thailand,-
2012,Q4,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2012,Q4,Lainnya,Brunei Darussalam,-
2012,Q4,Lainnya,Filipina,46.22
2012,Q4,Lainnya,Kamboja,-
2012,Q4,Lainnya,Laos,-
2012,Q4,Lainnya,Malaysia,-2.98
2012,Q4,Lainnya,Myanmar,-
2012,Q4,Lainnya,Singapura,21.73
2012,Q4,Lainnya,Thailand,-
2012,Q4,Lainnya,Vietnam,-
2012,Q4,Pendidikan,Brunei Darussalam,-
2012,Q4,Pendidikan,Filipina,-
2012,Q4,Pendidikan,Kamboja,-
2012,Q4,Pendidikan,Laos,-
2012,Q4,Pendidikan,Malaysia,-
2012,Q4,Pendidikan,Myanmar,-
2012,Q4,Pendidikan,Singapura,-
2012,Q4,Pendidikan,Thailand,-
2012,Q4,Pendidikan,Vietnam,-
2013,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2013,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2013,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2013,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2013,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,-
2013,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
